pd_num,element,n,mean_pd,std,baseline_mean,difference,p_value,cohens_d
1,Earth,1474,-0.2542739841288311,2.8655710048899006,-0.21173817224949393,-0.04253581187933719,0.5981123340972533,-0.014627450791518278
1,Fire,1929,-0.11783161917165372,2.9345999553867874,-0.1272801673055078,0.009448548133854096,0.8961372512031697,0.003175629402615146
1,Metal,1368,-0.17754368650303143,3.0270769902862087,-0.006725095122518748,-0.17081859138051267,0.05079829318826957,-0.05641219206785832
1,Water,1364,-0.245872090860033,3.00138045071922,-0.23528617624695752,-0.010585914613075481,0.9002184124341569,-0.0036160098311022867
1,Wood,1244,-0.07366652570588021,3.0830183135972,-0.1433388179437377,0.0696722922378575,0.4334506174181381,0.023690744828392975
6,Earth,1159,-0.16815582905798535,2.8772447994242865,-0.21173817224949393,0.04358234319150858,0.6278532429218164,0.014975997619694871
6,Fire,1508,-0.015895088228920426,3.105789070052861,-0.1272801673055078,0.11138507907658739,0.17039445448631416,0.037206531397043136
6,Metal,1060,-0.14671216267763493,2.967760756557488,-0.006725095122518748,-0.13998706755511617,0.15221154333143502,-0.04631820543706818
6,Water,1120,-0.10064594406743306,3.0036319245752896,-0.23528617624695752,0.13464023217952448,0.14393967282492254,0.04601319951517374
6,Wood,983,-0.021824440413336716,2.945139611420044,-0.1433388179437377,0.121514377530401,0.21587760213002527,0.041569131137089065
