condition,round_type,color,moon,n,good_pct,bad_pct,pop_good_pct,pop_bad_pct,good_edge,bad_edge,ratio,avg_diff
Calm,Closing,Blue,Krishna Bhadra,64,10.9,23.4,23.7,22.7,-12.7,0.7,0.45,0.46
Calm,Closing,Blue,Krishna Jaya,56,12.5,35.7,23.7,22.7,-11.2,13.0,0.34,0.76
Calm,Closing,Blue,Krishna Nanda,51,29.4,27.5,23.7,22.7,5.7,4.7,1.03,0.5
Calm,Closing,Blue,Krishna Purna,53,20.8,28.3,23.7,22.7,-2.9,5.6,0.7,0.15
Calm,Closing,Blue,Shukla Bhadra,115,26.1,20.0,23.7,22.7,2.4,-2.7,1.25,-0.25
Calm,Closing,Blue,Shukla Jaya,172,23.8,26.7,23.7,22.7,0.2,4.0,0.86,0.16
Calm,Closing,Blue,Shukla Nanda,98,18.4,15.3,23.7,22.7,-5.3,-7.4,1.15,-0.25
Calm,Closing,Blue,Shukla Purna,94,26.6,19.1,23.7,22.7,2.9,-3.6,1.33,-0.3
Calm,Closing,Blue,Shukla Rikta,167,26.3,23.4,23.7,22.7,2.7,0.6,1.08,-0.26
Calm,Closing,Green,Krishna Bhadra,58,22.4,32.8,23.7,22.7,-1.3,10.0,0.66,0.45
Calm,Closing,Green,Krishna Jaya,51,23.5,15.7,23.7,22.7,-0.1,-7.0,1.44,-0.3
Calm,Closing,Green,Krishna Nanda,34,35.3,23.5,23.7,22.7,11.6,0.8,1.44,0.34
Calm,Closing,Green,Krishna Purna,83,24.1,22.9,23.7,22.7,0.4,0.2,1.01,-0.03
Calm,Closing,Green,Shukla Bhadra,56,23.2,16.1,23.7,22.7,-0.5,-6.6,1.39,-0.51
Calm,Closing,Green,Shukla Jaya,81,22.2,30.9,23.7,22.7,-1.4,8.2,0.69,0.21
Calm,Closing,Green,Shukla Nanda,44,36.4,11.4,23.7,22.7,12.7,-11.3,3.07,-0.7
Calm,Closing,Green,Shukla Purna,66,24.2,12.1,23.7,22.7,0.6,-10.6,1.92,-0.63
Calm,Closing,Green,Shukla Rikta,74,28.4,20.3,23.7,22.7,4.7,-2.4,1.34,-0.29
Calm,Closing,Orange,Krishna Bhadra,76,23.7,21.1,23.7,22.7,0.0,-1.7,1.08,-0.19
Calm,Closing,Orange,Krishna Jaya,64,17.2,29.7,23.7,22.7,-6.5,7.0,0.56,0.44
Calm,Closing,Orange,Krishna Nanda,52,21.2,23.1,23.7,22.7,-2.5,0.4,0.88,0.3
Calm,Closing,Orange,Krishna Purna,52,25.0,25.0,23.7,22.7,1.3,2.3,0.96,0.26
Calm,Closing,Orange,Krishna Rikta,37,16.2,18.9,23.7,22.7,-7.5,-3.8,0.82,-0.17
Calm,Closing,Orange,Shukla Bhadra,113,23.0,23.9,23.7,22.7,-0.7,1.2,0.92,-0.06
Calm,Closing,Orange,Shukla Jaya,152,21.7,19.1,23.7,22.7,-2.0,-3.6,1.09,-0.18
Calm,Closing,Orange,Shukla Nanda,73,30.1,27.4,23.7,22.7,6.5,4.7,1.06,-0.06
Calm,Closing,Orange,Shukla Purna,78,29.5,25.6,23.7,22.7,5.8,2.9,1.1,0.19
Calm,Closing,Orange,Shukla Rikta,142,29.6,21.8,23.7,22.7,5.9,-0.9,1.3,-0.35
Calm,Closing,Purple,Krishna Bhadra,59,13.6,13.6,23.7,22.7,-10.1,-9.2,0.96,0.04
Calm,Closing,Purple,Krishna Jaya,69,24.6,17.4,23.7,22.7,1.0,-5.3,1.36,-0.02
Calm,Closing,Purple,Krishna Nanda,36,16.7,27.8,23.7,22.7,-7.0,5.1,0.58,0.68
Calm,Closing,Purple,Krishna Purna,78,29.5,17.9,23.7,22.7,5.8,-4.8,1.58,-0.31
Calm,Closing,Purple,Shukla Bhadra,65,23.1,27.7,23.7,22.7,-0.6,5.0,0.8,-0.17
Calm,Closing,Purple,Shukla Jaya,95,20.0,28.4,23.7,22.7,-3.7,5.7,0.68,0.25
Calm,Closing,Purple,Shukla Nanda,57,24.6,15.8,23.7,22.7,0.9,-6.9,1.49,-0.29
Calm,Closing,Purple,Shukla Purna,70,31.4,12.9,23.7,22.7,7.8,-9.9,2.35,-0.87
Calm,Closing,Purple,Shukla Rikta,109,33.0,20.2,23.7,22.7,9.4,-2.5,1.57,-0.38
Calm,Closing,Red,Shukla Bhadra,30,10.0,46.7,23.7,22.7,-13.7,24.0,0.21,0.87
Calm,Closing,Yellow,Krishna Bhadra,107,19.6,27.1,23.7,22.7,-4.0,4.4,0.69,0.23
Calm,Closing,Yellow,Krishna Jaya,102,23.5,27.5,23.7,22.7,-0.1,4.7,0.82,0.22
Calm,Closing,Yellow,Krishna Nanda,133,21.8,21.8,23.7,22.7,-1.9,-0.9,0.96,0.14
Calm,Closing,Yellow,Krishna Purna,186,16.1,26.3,23.7,22.7,-7.5,3.6,0.59,0.6
Calm,Closing,Yellow,Shukla Bhadra,135,21.5,17.0,23.7,22.7,-2.2,-5.7,1.21,-0.22
Calm,Closing,Yellow,Shukla Jaya,291,24.4,24.4,23.7,22.7,0.7,1.7,0.96,0.14
Calm,Closing,Yellow,Shukla Nanda,167,25.1,24.0,23.7,22.7,1.5,1.2,1.01,-0.22
Calm,Closing,Yellow,Shukla Purna,171,30.4,20.5,23.7,22.7,6.7,-2.2,1.43,-0.19
Calm,Closing,Yellow,Shukla Rikta,250,26.0,19.2,23.7,22.7,2.3,-3.5,1.3,-0.37
Calm,Elimination,Blue,Krishna Jaya,30,26.7,20.0,27.7,18.2,-1.1,1.8,0.88,0.04
Calm,Elimination,Orange,Krishna Jaya,42,28.6,14.3,27.7,18.2,0.9,-3.9,1.31,-0.32
Calm,Elimination,Orange,Shukla Bhadra,31,51.6,16.1,27.7,18.2,23.9,-2.1,2.1,-0.98
